Index	Label
0	3
1	1
2	9
3	7
4	3
5	2
6	4
7	1
8	4
9	8
10	9
11	0
12	8
13	0
14	6
15	2
16	5
17	5
18	9
19	6
20	8
21	5
22	8
23	5
24	4
25	9
26	7
27	2
28	6
29	2
30	2
31	1
32	7
33	4
34	3
35	9
36	7
37	4
38	0
39	3
40	1
41	7
42	6
43	2
44	7
45	9
46	1
47	7
48	8
49	1
50	4
51	8
52	7
53	4
54	0
55	5
56	1
57	7
58	7
59	3
60	3
61	0
62	3
63	4
64	4
65	8
66	6
67	9
68	8
69	2
70	9
71	6
72	6
73	5
74	6
75	2
76	3
77	2
78	2
79	2
80	9
81	6
82	5
83	7
84	7
85	0
86	1
87	1
88	1
89	3
90	4
91	3
92	6
93	4
94	6
95	5
96	7
97	0
98	9
99	4
100	2
101	7
102	6
103	5
104	5
105	8
106	2
107	5
108	4
109	7
110	3
111	0
112	3
113	7
114	9
115	1
116	2
117	0
118	9
119	1
120	6
121	8
122	2
123	7
124	7
125	2
126	1
127	8
128	5
129	5
130	1
131	1
132	3
133	8
134	4
135	0
136	3
137	7
138	0
139	3
140	5
141	9
142	6
143	4
144	0
145	0
146	9
147	6
148	9
149	5
150	2
151	9
152	1
153	4
154	6
155	5
156	1
157	4
158	9
159	5
160	6
161	9
162	9
163	8
164	6
165	1
166	9
167	9
168	8
169	5
170	1
171	2
172	0
173	6
174	9
175	1
176	9
177	3
178	8
179	7
180	0
181	8
182	5
183	1
184	8
185	9
186	8
187	3
188	0
189	5
190	0
191	0
192	5
193	8
194	0
195	0
196	3
197	2
198	4
199	2
200	6
201	2
202	0
203	6
204	3
205	7
206	3
207	0
208	3
209	5
210	5
211	2
212	7
213	5
214	0
215	5
216	1
217	9
218	7
219	3
220	8
221	7
222	0
223	7
224	9
225	3
226	6
227	9
228	0
229	4
230	8
231	9
232	9
233	4
234	2
235	8
236	7
237	1
238	6
239	1
240	8
241	6
242	8
243	1
244	5
245	9
246	1
247	2
248	9
249	5
250	7
251	8
252	6
253	2
254	9
255	3
256	7
257	6
258	9
259	3
260	6
261	2
262	9
263	6
264	7
265	5
266	4
267	3
268	6
269	6
270	6
271	8
272	0
273	6
274	2
275	0
276	7
277	0
278	2
279	9
280	1
281	4
282	8
283	3
284	2
285	5
286	4
287	6
288	9
289	0
290	7
291	9
292	8
293	4
294	6
295	4
296	7
297	9
298	9
299	9
300	0
301	2
302	1
303	9
304	4
305	2
306	8
307	3
308	1
309	1
310	4
311	9
312	7
313	4
314	8
315	7
316	6
317	7
318	7
319	0
320	0
321	5
322	3
323	8
324	5
325	4
326	0
327	2
328	6
329	6
330	7
331	6
332	0
333	6
334	8
335	0
336	1
337	6
338	2
339	0
340	8
341	2
342	7
343	3
344	3
345	8
346	8
347	4
348	4
349	1
350	2
351	7
352	2
353	5
354	3
355	9
356	8
357	7
358	6
359	2
360	8
361	7
362	7
363	1
364	5
365	0
366	7
367	9
368	5
369	2
370	7
371	8
372	2
373	4
374	3
375	9
376	8
377	6
378	8
379	8
380	5
381	5
382	0
383	2
384	9
385	0
386	3
387	6
388	5
389	7
390	5
391	7
392	0
393	7
394	0
395	3
396	5
397	9
398	2
399	4
400	4
401	2
402	3
403	8
404	6
405	2
406	0
407	3
408	5
409	4
410	0
411	7
412	7
413	5
414	4
415	0
416	2
417	3
418	9
419	7
420	3
421	7
422	7
423	9
424	5
425	9
426	3
427	7
428	2
429	0
430	6
431	8
432	1
433	3
434	9
435	8
436	7
437	0
438	3
439	4
440	2
441	6
442	9
443	8
444	2
445	6
446	2
447	0
448	5
449	7
450	2
451	1
452	2
453	2
454	4
455	6
456	2
457	7
458	3
459	5
460	1
461	7
462	5
463	8
464	3
465	4
466	3
467	0
468	7
469	3
470	6
471	3
472	0
473	6
474	5
475	7
476	3
477	3
478	8
479	3
480	6
481	0
482	6
483	4
484	4
485	0
486	3
487	8
488	1
489	1
490	1
491	7
492	9
493	6
494	1
495	4
496	2
497	3
498	3
499	4
500	4
501	1
502	0
503	2
504	0
505	4
506	0
507	5
508	6
509	6
510	1
511	3
512	5
513	9
514	8
515	0
516	3
517	2
518	7
519	0
520	2
521	9
522	3
523	7
524	1
525	2
526	2
527	0
528	0
529	4
530	8
531	7
532	0
533	9
534	0
535	8
536	9
537	1
538	7
539	8
540	9
541	1
542	2
543	9
544	2
545	4
546	3
547	4
548	9
549	9
550	7
551	3
552	0
553	8
554	9
555	8
556	2
557	8
558	7
559	7
560	6
561	8
562	9
563	4
564	6
565	4
566	5
567	1
568	9
569	7
570	5
571	4
572	3
573	1
574	7
575	5
576	6
577	4
578	8
579	8
580	0
581	6
582	4
583	3
584	1
585	6
586	3
587	0
588	3
589	9
590	3
591	4
592	2
593	9
594	6
595	3
596	2
597	8
598	2
599	0
600	6
601	0
602	5
603	8
604	1
605	2
606	7
607	9
608	7
609	8
610	0
611	3
612	5
613	0
614	4
615	9
616	8
617	7
618	2
619	1
620	3
621	6
622	0
623	2
624	4
625	5
626	7
627	8
628	0
629	2
630	3
631	4
632	8
633	7
634	6
635	5
636	4
637	2
638	9
639	9
640	3
641	8
642	8
643	9
644	1
645	3
646	0
647	0
648	3
649	4
650	4
651	8
652	9
653	6
654	6
655	6
656	5
657	9
658	1
659	4
660	1
661	6
662	1
663	2
664	1
665	5
666	3
667	6
668	4
669	3
670	5
671	4
672	1
673	7
674	3
675	1
676	7
677	4
678	1
679	7
680	9
681	0
682	5
683	6
684	4
685	9
686	2
687	5
688	7
689	6
690	4
691	5
692	3
693	8
694	8
695	7
696	3
697	4
698	0
699	1
700	1
701	6
702	1
703	8
704	0
705	1
706	2
707	5
708	7
709	8
710	0
711	3
712	9
713	0
714	7
715	0
716	2
717	7
718	3
719	3
720	8
721	5
722	8
723	3
724	2
725	9
726	0
727	2
728	0
729	7
730	3
731	1
732	0
733	3
734	9
735	6
736	0
737	9
738	7
739	1
740	7
741	1
742	9
743	1
744	2
745	5
746	1
747	3
748	5
749	0
750	6
751	7
752	2
753	6
754	6
755	8
756	4
757	0
758	7
759	1
760	2
761	4
762	7
763	4
764	1
765	9
766	5
767	0
768	0
769	0
770	1
771	9
772	5
773	3
774	1
775	3
776	3
777	5
778	8
779	9
780	1
781	4
782	8
783	3
784	5
785	7
786	3
787	4
788	3
789	3
790	6
791	9
792	3
793	9
794	2
795	9
796	8
797	4
798	6
799	7
800	6
801	0
802	7
803	6
804	0
805	0
806	2
807	6
808	8
809	4
810	6
811	4
812	2
813	6
814	5
815	9
816	9
817	5
818	9
819	7
820	5
821	3
822	6
823	4
824	2
825	6
826	1
827	9
828	2
829	7
830	5
831	7
832	6
833	6
834	7
835	3
836	9
837	4
838	3
839	1
840	1
841	5
842	0
843	7
844	3
845	8
846	7
847	0
848	6
849	9
850	7
851	1
852	2
853	4
854	3
855	8
856	5
857	9
858	6
859	5
860	0
861	7
862	0
863	8
864	5
865	2
866	7
867	5
868	4
869	3
870	4
871	9
872	8
873	9
874	0
875	9
876	2
877	2
878	8
879	7
880	7
881	9
882	7
883	0
884	2
885	0
886	8
887	6
888	5
889	8
890	4
891	1
892	0
893	3
894	1
895	1
896	8
897	7
898	1
899	7
900	5
901	6
902	5
903	7
904	1
905	6
906	0
907	6
908	6
909	5
910	7
911	7
912	4
913	1
914	7
915	5
916	1
917	9
918	8
919	3
920	5
921	2
922	5
923	3
924	0
925	0
926	2
927	2
928	1
929	1
930	0
931	7
932	6
933	0
934	9
935	6
936	3
937	0
938	7
939	8
940	8
941	7
942	9
943	6
944	3
945	6
946	4
947	0
948	5
949	1
950	6
951	1
952	3
953	4
954	2
955	7
956	6
957	5
958	2
959	3
960	4
961	3
962	0
963	9
964	4
965	7
966	6
967	3
968	1
969	0
970	1
971	2
972	3
973	6
974	8
975	8
976	6
977	6
978	6
979	7
980	2
981	8
982	9
983	1
984	3
985	1
986	1
987	3
988	4
989	6
990	5
991	7
992	9
993	9
994	5
995	3
996	0
997	6
998	2
999	2
1000	4
1001	0
1002	2
1003	2
1004	1
1005	9
1006	7
1007	0
1008	5
1009	2
1010	0
1011	5
1012	4
1013	3
1014	2
1015	2
1016	1
1017	8
1018	8
1019	8
1020	8
1021	7
1022	1
1023	0
1024	9
1025	1
1026	0
1027	0
1028	0
1029	0
1030	1
1031	0
1032	5
1033	3
1034	8
1035	1
1036	4
1037	4
1038	2
1039	5
1040	8
1041	0
1042	7
1043	2
1044	6
1045	7
1046	4
1047	0
1048	5
1049	4
1050	4
1051	7
1052	2
1053	7
1054	6
1055	8
1056	1
1057	3
1058	3
1059	6
1060	3
1061	4
1062	9
1063	9
1064	3
1065	2
1066	7
1067	7
1068	8
1069	9
1070	1
1071	5
1072	3
1073	8
1074	3
1075	8
1076	1
1077	3
1078	5
1079	5
1080	6
1081	7
1082	8
1083	8
1084	4
1085	1
1086	5
1087	4
1088	0
1089	3
